debug 2024/03/01 16:21:08 0
debug 2024/03/01 16:21:10 0
debug 2024/03/01 16:21:19 1
debug 2024/03/01 16:21:20 0
debug 2024/03/01 16:21:22 0
debug 2024/03/01 16:21:23 0
debug 2024/03/01 16:21:23 0
debug 2024/03/01 16:21:34 2
debug 2024/03/01 17:05:55 N pressed
debug 2024/03/01 17:05:55 N pressed
debug 2024/03/01 17:05:55 N pressed
debug 2024/03/01 17:05:56 N pressed
debug 2024/03/01 17:05:56 N pressed
debug 2024/03/01 17:05:56 N pressed
debug 2024/03/01 17:06:53 N pressed
debug 2024/03/01 17:09:10 N pressed
debug 2024/03/01 17:09:11 N pressed
debug 2024/03/01 17:09:11 N pressed
debug 2024/03/01 17:09:11 N pressed
debug 2024/03/01 17:14:34 N pressed
debug 2024/03/01 17:14:52 N pressed
debug 2024/03/01 17:16:16 N pressed
